network_id,family_nodes,friend_nodes,family_active_nodes,friend_active_nodes,family_support,friend_support,initial_mfq,mfq_with_network,mfq_without_network,episode_number,p_connection_1
42,2,11,0,3,0,3,5,7,10,10,0.15
43,6,9,0,0,0,0,33,33,33,0,0.15
43,6,9,0,0,0,0,33,46,45,1,0.15
43,6,9,0,0,0,0,33,49,46,2,0.15
43,6,9,0,0,0,0,33,49,47,3,0.15
43,6,9,0,0,0,0,33,49,47,4,0.15
43,6,9,0,0,0,0,33,48,48,5,0.15
43,6,9,0,0,0,0,33,49,49,6,0.15
43,6,9,0,0,0,0,33,50,49,7,0.15
43,6,9,0,0,0,0,33,48,50,8,0.15
43,6,9,0,0,0,0,33,48,49,9,0.15
43,6,9,0,0,0,0,33,51,48,10,0.15
44,8,2,0,0,0,0,44,44,44,0,0.15
44,8,2,0,0,0,0,44,59,57,1,0.15
44,8,2,0,0,0,0,44,61,61,2,0.15
44,8,2,0,0,0,0,44,63,62,3,0.15
44,8,2,0,0,0,0,44,66,64,4,0.15
44,8,2,0,0,0,0,44,66,64,5,0.15
44,8,2,0,0,0,0,44,64,64,6,0.15
44,8,2,0,0,0,0,44,65,63,7,0.15
44,8,2,0,0,0,0,44,64,66,8,0.15
44,8,2,0,0,0,0,44,63,65,9,0.15
44,8,2,0,0,0,0,44,66,66,10,0.15
45,10,8,3,1,3,1,61,61,61,0,0.15
45,10,8,3,1,3,1,61,66,66,1,0.15
45,10,8,3,1,3,1,61,66,66,2,0.15
45,10,8,3,1,3,1,61,66,66,3,0.15
45,10,8,3,1,3,1,61,66,66,4,0.15
45,10,8,3,1,3,1,61,66,66,5,0.15
45,10,8,3,1,3,1,61,66,66,6,0.15
45,10,8,3,1,3,1,61,66,66,7,0.15
45,10,8,3,1,3,1,61,66,66,8,0.15
45,10,8,3,1,3,1,61,66,66,9,0.15
45,10,8,3,1,3,1,61,66,66,10,0.15
46,6,12,0,1,0,1,33,33,33,0,0.15
46,6,12,0,1,0,1,33,43,43,1,0.15
46,6,12,0,1,0,1,33,47,45,2,0.15
46,6,12,0,1,0,1,33,47,47,3,0.15
46,6,12,0,1,0,1,33,49,47,4,0.15
46,6,12,0,1,0,1,33,49,50,5,0.15
46,6,12,0,1,0,1,33,48,47,6,0.15
46,6,12,0,1,0,1,33,48,49,7,0.15
46,6,12,0,1,0,1,33,48,50,8,0.15
46,6,12,0,1,0,1,33,49,47,9,0.15
46,6,12,0,1,0,1,33,48,49,10,0.15
47,2,10,1,1,1,1,6,6,6,0,0.15
47,2,10,1,1,1,1,6,6,7,1,0.15
47,2,10,1,1,1,1,6,7,8,2,0.15
47,2,10,1,1,1,1,6,7,9,3,0.15
47,2,10,1,1,1,1,6,8,8,4,0.15
47,2,10,1,1,1,1,6,10,7,5,0.15
